drug_name,base_drug_name,drug_class,drug_sub_class,therapeutic_category,dosages,route_of_administration,formulation,search_text,source_files
Stannous Fluoride,stannous fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: stannous fluoride | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Natamycin,natamycin,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: natamycin | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Neomycin,neomycin,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: neomycin | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Amphotericin B,amphotericin B,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,['50 mg'],intravenous,solution,Drug: amphotericin B | Dosages: [50 mg] | Form: solution | Route: intravenous | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Oxytetracycline,oxytetracycline,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: oxytetracycline | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Triamcinolone,triamcinolone,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: triamcinolone | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Corticosteroids for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Dexamethasone,dexamethasone,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,STOMATOLOGICAL PREPARATIONS,"['0.5 mg', '0.75 mg', '1 mg', '1.5 mg', '2 mg', '4 mg', '5 ml', '6 mg']",oral,solution,"Drug: dexamethasone | Dosages: [0.5 mg, 0.75 mg, 1 mg, 1.5 mg, 2 mg, 4 mg, 5 ml, 6 mg] | Form: solution | Route: oral | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Corticosteroids for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Hydrocortisone,hydrocortisone,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,STOMATOLOGICAL PREPARATIONS,"['10 mg', '100 mg', '20 mg', '5 mg', '5 mg/ml', '60 ml']",rectal,cream,"Drug: hydrocortisone | Dosages: [10 mg, 100 mg, 20 mg, 5 mg, 5 mg/ml, 60 ml] | Form: cream | Route: rectal | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Corticosteroids for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Prednisolone,prednisolone,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,STOMATOLOGICAL PREPARATIONS,"['15 mg', '5 ml']",oral,solution,"Drug: prednisolone | Dosages: [15 mg, 5 ml] | Form: solution | Route: oral | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Corticosteroids for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Becaplermin,becaplermin,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: becaplermin | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Other agents for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Aspirin,aspirin,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,"['325 mg', '81 mg']",oral,tablet,"Drug: aspirin | Dosages: [325 mg, 81 mg] | Form: tablet | Route: oral | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Other agents for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Benzydamine,benzydamine,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: benzydamine | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Other agents for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Adrenalone,adrenalone,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: adrenalone | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Other agents for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Epinephrine,epinephrine,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,"['0.3 mg', '0.3 ml']",,injection,"Drug: epinephrine | Dosages: [0.3 mg, 0.3 ml] | Form: injection | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Other agents for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Amlexanox,amlexanox,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: amlexanox | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Other agents for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Magnesium Silicate,magnesium silicate,ANTACIDS,Magnesium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: magnesium silicate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Magnesium Peroxide,magnesium peroxide,ANTACIDS,Magnesium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: magnesium peroxide | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Magnesium Carbonate,magnesium carbonate,ANTACIDS,Magnesium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: magnesium carbonate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Magnesium Hydroxide,magnesium hydroxide,ANTACIDS,Magnesium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: magnesium hydroxide | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Magnesium Oxide,magnesium oxide,ANTACIDS,Magnesium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: magnesium oxide | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Aloglutamol,aloglutamol,ANTACIDS,Aluminium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: aloglutamol | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Aluminium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Aluminum Phosphate,aluminum phosphate,ANTACIDS,Aluminium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: aluminum phosphate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Aluminium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Dihydroxyaluminum Aminoacetate,dihydroxyaluminum aminoacetate,ANTACIDS,Aluminium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: dihydroxyaluminum aminoacetate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Aluminium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Aluminum Hydroxide,aluminum hydroxide,ANTACIDS,Aluminium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: aluminum hydroxide | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Aluminium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Calcium Silicate,calcium silicate,ANTACIDS,Calcium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: calcium silicate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Calcium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Calcium Carbonate,calcium carbonate,ANTACIDS,Calcium compounds,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: calcium carbonate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Calcium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Aluminum Magnesium Silicate,aluminum magnesium silicate,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",DRUGS FOR ACID RELATED DISORDERS,[],,,"Drug: aluminum magnesium silicate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Combinations and complexes of aluminium, calcium and magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS",['rxnorm_complete_drug_classification.csv']
Hydrotalcite,hydrotalcite,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",DRUGS FOR ACID RELATED DISORDERS,[],,,"Drug: hydrotalcite | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Combinations and complexes of aluminium, calcium and magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS",['rxnorm_complete_drug_classification.csv']
Magaldrate,magaldrate,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",DRUGS FOR ACID RELATED DISORDERS,[],,,"Drug: magaldrate | Dosages: [] | Form:  | Route:  | Class: ANTACIDS | Subclass: Combinations and complexes of aluminium, calcium and magnesium compounds | Therapeutic: DRUGS FOR ACID RELATED DISORDERS",['rxnorm_complete_drug_classification.csv']
Roxatidine,roxatidine,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: roxatidine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: H2-receptor antagonists | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Cimetidine,cimetidine,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,DRUGS FOR ACID RELATED DISORDERS,"['200 mg', '300 mg', '400 mg', '800 mg']",oral,tablet,"Drug: cimetidine | Dosages: [200 mg, 300 mg, 400 mg, 800 mg] | Form: tablet | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: H2-receptor antagonists | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Nizatidine,nizatidine,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,DRUGS FOR ACID RELATED DISORDERS,"['15 mg/ml', '150 mg', '300 mg']",oral,capsule,"Drug: nizatidine | Dosages: [15 mg/ml, 150 mg, 300 mg] | Form: capsule | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: H2-receptor antagonists | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Famotidine,famotidine,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,DRUGS FOR ACID RELATED DISORDERS,"['20 mg', '40 mg', '5 ml']",oral,tablet,"Drug: famotidine | Dosages: [20 mg, 40 mg, 5 ml] | Form: tablet | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: H2-receptor antagonists | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Ranitidine,ranitidine,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: ranitidine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: H2-receptor antagonists | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Misoprostol,misoprostol,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins,DRUGS FOR ACID RELATED DISORDERS,"['100 mcg', '200 mcg']",oral,tablet,"Drug: misoprostol | Dosages: [100 mcg, 200 mcg] | Form: tablet | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Prostaglandins | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Rabeprazole,rabeprazole,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: rabeprazole | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Lansoprazole,lansoprazole,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,"['15 mg', '30 mg']",oral,tablet,"Drug: lansoprazole | Dosages: [15 mg, 30 mg] | Form: tablet | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Vonoprazan,vonoprazan,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: vonoprazan | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Esomeprazole,esomeprazole,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: esomeprazole | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Pantoprazole,pantoprazole,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: pantoprazole | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Omeprazole,omeprazole,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,"['10 mg', '20 mg', '40 mg']",oral,capsule,"Drug: omeprazole | Dosages: [10 mg, 20 mg, 40 mg] | Form: capsule | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Dexlansoprazole,dexlansoprazole,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,DRUGS FOR ACID RELATED DISORDERS,"['30 mg', '60 mg']",oral,capsule,"Drug: dexlansoprazole | Dosages: [30 mg, 60 mg] | Form: capsule | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Proton pump inhibitors | Therapeutic: DRUGS FOR ACID RELATED DISORDERS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Bismuth Subcitrate / Metronidazole / Tetracycline,bismuth subcitrate / metronidazole / tetracycline,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: bismuth subcitrate / metronidazole / tetracycline | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Combinations for eradication of Helicobacter pylori | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
