ingredient_rxcui,primary_drug_name,therapeutic_class_l2,drug_class_l3,drug_subclass_l4
5492,hydrocortisone,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
8638,prednisolone,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
115238,becaplermin,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
1191,aspirin,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
1425,benzydamine,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
17073,adrenalone,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
3992,epinephrine,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
46307,amlexanox,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
1310566,magnesium silicate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
1666106,magnesium peroxide,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
29155,magnesium carbonate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
6581,magnesium hydroxide,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
6582,magnesium oxide,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
17392,aloglutamol,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
17618,aluminum phosphate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
23162,dihydroxyaluminum aminoacetate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
612,aluminum hydroxide,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
1311526,calcium silicate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds
1897,calcium carbonate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds
17614,aluminum magnesium silicate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
27221,hydrotalcite,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
29151,magaldrate,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
114817,roxatidine,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
2541,cimetidine,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
42319,nizatidine,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
4278,famotidine,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
9143,ranitidine,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
42331,misoprostol,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins
114979,rabeprazole,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
17128,lansoprazole,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
2604577,vonoprazan,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
283742,esomeprazole,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
40790,pantoprazole,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
7646,omeprazole,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
816346,dexlansoprazole,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
1007769,bismuth subcitrate / metronidazole / tetracycline,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
2262025,amoxicillin / omeprazole / rifabutin,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
10156,sucralfate,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
1362746,geranylgeranylacetone,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
16784,acetoxolone,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
17305,alginic acid,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
19477,bismuth subnitrate,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
2017,carbenoxolone,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
47181,bismuth subcitrate,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
8352,pirenzepine,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
8730,proglumide,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
10819,trimebutine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
163406,difemerine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
20136,camylofine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
236209,dihexyverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
29410,mebeverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
32698,oxyphencyclimine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
3361,dicyclomine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
59064,piperidolate,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
107770,mepenzolate,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
26867,hexocyclium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
33743,pipenzolate,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
33926,poldine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
38617,tridihexethyl,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
6821,methantheline,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
7818,oxyphenonium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
8761,propantheline,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
89782,diphemanil,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
89784,isopropamide,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
38315,tiropramide,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic antispasmodics, amides with tertiary amines"
23684,drotaverin,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives
52918,moxaverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives
7895,papaverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives
85248,alosetron,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Serotonin receptor antagonists
17627,alverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
236206,diisopromine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
24855,fenoverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
27946,isometheptene,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
33094,peppermint oil,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
33724,pinaverium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
44532,trepibutone,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
8196,phloroglucinol,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
1223,atropine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, tertiary amines"
153970,hyoscyamine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, tertiary amines"
1085787,butylscopolamine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
89785,methscopolamine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
135091,mosapride,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
17311,alizapride,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
19768,bromopride,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
21125,cinitapride,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
21224,clebopride,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
35255,cisapride,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
3626,domperidone,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
6915,metoclopramide,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
26225,ondansetron,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
26237,granisetron,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
27392,tropisetron,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
68091,dolasetron,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
70561,palonosetron,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
10402,dronabinol,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
1665496,rolapitant,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
2378,chlorobutanol,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
29954,metopimazine,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
31447,nabilone,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
314546,cerium oxalate,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
358255,aprepitant,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
9601,scopolamine,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
1440856,cholic acid,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives
1798288,obeticholic acid,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives
2613950,taurursodiol,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives
21954,cyclobutyrol,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
2563966,odevixibat,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
2684941,elafibranor,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
2690869,seladelpar,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
33761,piprozoline,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
5556,hymecromone,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
114464,arginine glutamate,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
1482634,ornithine alpha-ketoglutarate,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
21171,citiolone,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
24263,epomediol,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
26143,glycyrrhizic acid,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
9794,silymarin,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
6972,mineral oil,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,"Softeners, emollients"
155122,phenolphthalein,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
1596,bisacodyl,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
2129,castor oil,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
22293,danthron,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
36387,"sennosides, USP",DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
66869,cascara sagrada,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
8136,oxyphenisatin,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
20063,calcium polycarbophil,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Bulk-forming laxatives
6111,karaya gum,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Bulk-forming laxatives
6404,linseed oil,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Bulk-forming laxatives
6873,methylcellulose,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Bulk-forming laxatives
1666106,magnesium peroxide,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
28395,lactitol,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
29155,magnesium carbonate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
36709,sodium phosphate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
36721,sodium sulfate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
52356,magnesium citrate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
56524,sodium tartrate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
6218,lactulose,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
6582,magnesium oxide,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
6585,magnesium sulfate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
6628,mannitol,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
8516,polyethylene glycols,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
9945,sorbitol,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
1596,bisacodyl,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Enemas
36709,sodium phosphate,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Enemas
4910,glycerin,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Enemas
9945,sorbitol,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Enemas
1551777,naloxegol,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Peripheral opioid receptor antagonists
1876597,naldemedine,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Peripheral opioid receptor antagonists
480639,alvimopan,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Peripheral opioid receptor antagonists
7242,naloxone,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Peripheral opioid receptor antagonists
1307404,linaclotide,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
139778,tegaserod,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
1873752,plecanatide,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
2107310,prucalopride,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
2199674,tenapanor,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
4910,glycerin,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
623033,lubiprostone,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
10109,streptomycin,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
1111103,fidaxomicin,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
11124,vancomycin,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
2709,colistin,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
35616,rifamycin SV,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
35619,rifaximin,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
6099,kanamycin,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
